#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
120,,Boubacari Doucoure,0.03,0,28.21,70.17,4.97,48.25
121,,Miloš Vidović,0.03,0,48.24,77.91,7.52,44.51
122,,Andrej Todoroski,0.14,0.1,13.24,78.39,4.97,65.22
123,,Miloš Ostojić,0,0,21.5,59.3,1,34.62
124,,Petar Stanić,0.1,0.07,26.4,76.52,7.27,53.33
125,,Miloš Milović,0.13,0,56.63,80.57,4,43.17
126,,Stefan Hajdin,0,0,43.95,75.45,5.47,44.2
127,,Veljko Nikolić,0.22,0,29.56,90.98,8.44,80
128,,Aranđel Stojković,0.07,0.14,40.24,80.12,7.66,48.35
129,,Nemanja Milić,0.12,0,20.41,61.96,6.88,77.78
130,,Fousseni Diabaté,0.25,0.22,31.88,84.02,12.16,68.18
131,,Vasilije Đurić,0.21,0.14,17,78.99,4.21,36.36
132,,Lazar Nikolić,0.08,0.08,28.46,73.51,6.69,39.69
133,,Veljko Simić,0.21,0.12,19.29,78.81,6.32,43.9
134,,Nemanja Đeković,0.04,0,34.11,67.43,3.54,39.86
135,,Balsa Popovic,0,0,24.38,64.62,1.75,47.58
136,,Stefan Lončar,0.06,0.11,47.11,75.94,10.28,58.99
137,,Nemanja Belaković,0.13,0,21.13,78.7,7.19,37.5
138,,Nikola Stanković,0.05,0.05,28,80.61,6.57,50
139,,Miloš Milisavljević,0,0,13.67,73.17,2.33,66.67
140,,Nenad Krstičić,0,0,11.25,84.44,3.25,100
141,,Dejan Stanivuković,0,0,24.73,49.87,1.07,32.72
142,,Noboru Shimura,0.1,0.1,23.61,65.57,4.97,31.46
143,,Ibrahima Mame Ndiaye,0.06,0.12,11.29,55.21,2.65,20
144,,Zeljko Samčović,0,0,21.7,44.24,1.15,33.52
145,,Samuel Owusu,0.17,0.1,16.24,78.56,5.55,75
146,,Filip Manojlović,0,0,20.93,55.75,0.89,42.35
147,,Taras Bondarenko,0,0,34.06,75.82,0.76,27.93
148,,Stefan Ranđelović,0,0,24.39,52.78,0.97,34.8
149,,Janko Tumbasević,0.06,0.03,30.16,79.38,5.78,60.87
150,,Stefan Jovanović,0,0.03,32.1,69.05,7.03,41.14
151,,Saša Marković,0.13,0.13,17.44,76.7,3.56,43.75
152,,Stefan Tomović,0.12,0,21.36,79.59,10.44,43.48
153,,Nikola Kuveljić,0.04,0.04,34.61,86.89,7.61,70
154,,Igor Jeličić,0,0.04,45.36,82.44,3.43,41.99
155,,Aleksandar Busnić,0.05,0.05,28.14,73.51,3.5,42.68
156,,Miljan Škrbić,0.06,0,11.17,73.13,2.94,71.43
157,,Siniša Saničanin,0,0,60.41,86.17,4.71,45.45
158,,Igor Maksimović,0.2,0.2,13,76.92,4.4,50
159,,Emmanuel Hackman,0,0,33.67,66.93,3.93,37.75
160,,Miljan Momčilović,0,0,29.78,76.62,4.74,47.5
161,,Uroš Đuranović,0.07,0.13,16.8,67.46,3.67,21.43
162,,Petar Mićin,0.09,0,23.69,75.07,6.56,43.48
163,,Aleksandar Tanasin,0.03,0,30.67,72.61,6.37,39.22
164,,Đorđe Ivanović,0.17,0.09,21.46,76.17,7.51,22.73
165,,Andrija Radulović,0.09,0,14.63,67.38,4.29,34.85
166,,Bojan Kovačević,0.06,0.06,37.47,70.8,2.82,40
167,,Numan Kurdić,0,0,31.59,78.21,3.12,53.64
168,,Nemanja Milojević,0.09,0.03,24.76,76.84,4.91,49.55
169,,Lazar Jovanović,0.2,0.4,17.6,70.45,9,0
170,,Nikola Vasiljević,0,0,25,72.27,1.27,33.67
171,,Patrick Andrade,0.06,0.06,33.75,82.22,9.88,61.84
172,,Stefan Leković,0,0,30.58,90.46,2,58.06
173,,Andrija Pavlović,0.06,0.06,8.67,78.21,2.67,83.33
174,,Slobodan Simović,0.11,0,32.11,79.58,3.89,56.6
175,,Milan Ilić,0,0,30.14,63.51,6,33.33
176,,Nikola Terzić,0,0,12.25,79.59,4.38,80
177,,Milan Marčić,0.08,0.08,29.08,73.28,7.5,55
178,,Luka Bijelović,0.13,0.06,26.58,76.21,8.81,40.63
179,,Damjan Krajišnik,0.06,0.03,28,79,6.82,44.21
180,,Uroš Vitas,0,0.06,36.83,74.66,3.83,40.57
181,,Novica Maksimović,0,0,41.32,77.91,9.26,41.9
182,,Ognjen Lukić,0,0,26,53.85,1,38.89
183,,David Bjelica,0,0,6,50,1,40
184,,Evandro,0.1,0.19,12.43,64.37,2.95,36.84
185,,Srđan Dimitrov,0.06,0.18,18.29,76.53,4.47,36.84
186,,Queensy Menig,0.27,0.12,17.3,70.93,6.52,32
187,,Nemanja Žunić,0.07,0,28.2,64.3,1.6,30.91
188,,Bojica Nikčević,0.04,0.07,15.26,69.42,4.85,22.22
189,,Milan Đurić,0.08,0.08,26.33,75,7.25,54.35
190,,Filip Malbašić,0.17,0.17,18.28,70.38,5.62,46.67
191,,Luka Milunović,0.06,0.13,14.81,77.64,3.81,63.64
192,,Bojan Matić,0.03,0.1,15.21,48.3,2.97,26.67
193,,Aleksandar Popović,0,0,25.68,65.37,0.71,40
194,,Emir Azemović,0.17,0,36.67,70.45,1.67,26.67
195,,Periša Pešukić,0.1,0.1,26.16,62.15,4.87,25.16
196,,Norman Campbell,0.17,0.14,15.34,69.46,5.57,39.58
197,,Petar Gigić,0.06,0.09,17.34,60.96,4.71,51.16
198,,Boris Kopitović,0,0,32.15,78.85,2.2,40.16
199,,Ognjen Mršić,0.1,0,33.3,65.17,2.6,29.52
200,,Sékou Sanogo,0,0,23,90.58,5.33,75
201,,Vukašin Krstić,0,0,24,80.56,1.67,50
202,,Nikola Stajić,0.11,0.11,27.44,76.52,3.33,52.78
203,,Darko Puškarić,0,0,40.86,76.92,5.86,38.71
204,,Jovan Milošević,0,0,8.28,70.47,2.06,75
205,,Stefan Vukić,0.15,0.07,12.89,83.91,4,66.67
206,,Bojan Roganović,0.33,0.33,34,75.98,9.17,47.83
207,,Matija Mitrović,0,0.25,7.25,72.41,2.25,0
208,,Vladimir Vitorović,0.04,0.04,27.39,72.49,4.93,38.46
209,,Samed Baždar,0.04,0.07,14.04,74.41,4.59,64
210,,Thierry Etongou,0,0,27.56,68.03,1.94,41.22
211,,Uroš Stojanović,0,0.03,25.45,70.95,4.03,34.29
212,,Slavoljub Srnić,0,0.07,22.47,86.05,5.33,52.17
213,,Miloš Pantović,0.03,0.06,27.35,81.01,6.42,75.81
214,,Aleksa Matić,0,0.07,32.07,77.96,4.4,34.09
215,,Ivan Milošević,0,0,36.13,76.77,2.52,45.56
216,,Miljan Ilić,0.06,0,26.94,66.95,5.48,26.24
217,,Uroš Lazić,0.06,0,21.65,60.87,3.29,18.81
218,,Đorđe Denić,0.08,0,26.76,69.66,6.72,39.34
219,,Milan Radin,0,0,40.4,85.4,7.7,62.79
220,,Luka Zorić,0.03,0,20.23,65.9,4.27,30.34
221,,Miloš Tošeski,0.13,0.25,20.94,78.51,4.88,50
222,,Luka Luković,0.12,0,20.12,70.47,7.35,54.55
223,,Miloš Adamović,0.06,0,45.94,74.52,7.65,50.36
224,,Dušan Stevanović,0,0.04,42.79,67.09,2.58,30.23
225,,Srđan Hrstić,0.11,0.04,15.93,65.58,4.15,56.25
226,,Zlatan Šehović,0,0,13.44,65.29,1.67,27.78
227,,Kristijan Tojcić,0,0.03,25.19,73.45,2.69,37.5
228,,Srđan Grabež,0,0,23.08,64.67,5.15,24.07
229,,Nikola Petković,0.07,0,23.21,76.62,5.93,44.64
230,,Stefan Filipović,0,0,35,72.86,2.5,44
231,,Luka Adžić,0.13,0,11.35,80.46,4.3,54.55
232,,Klemen Bolha,0,0,29.21,69.76,4.58,36
233,,Ljubomir Fejsa,0,0,38.3,88.88,5.96,61.05
234,,Vladimir Kovačević,0,0,40.06,75.03,2.56,40
235,,Dejan Dražić,0.07,0.07,15.5,64.98,3.79,36.36
236,,Nikola Ćirković,0.03,0.06,30.69,66.4,6.31,30.81
237,,Vanja Ilić,0.03,0.03,13.76,75.44,4.17,50
238,,Sead Islamović,0,0,23.18,75.38,5.53,43.14
239,,Cristian,0.14,0.07,13.21,59.46,4,31.58
240,,Miloš Đokić,0,0.06,17.94,73.2,3.61,40.91
241,,Filip Ivanović,0,0,40.29,67.25,2.35,28.04
242,,Aleksa Đurasović,0.03,0,20.93,78.5,4.47,56.92
243,,Aleksa Janković,0,0.14,3.14,86.36,0.57,0
244,,Marko Đurišić,0.1,0.1,25.24,76.04,4,38.55
245,,Vuk Mitošević,0,0,17,74.51,4.67,22.22
246,,Nikolaos Baxevanos,0,0,28.67,73.26,3.5,50
247,,Nikola Leković,0.06,0.06,37.16,70.83,5.52,33.74
248,,Ante Vukušić,0.04,0.07,11.96,70.59,2.52,61.11
249,,Sambou Sissoko,0,0,29.63,79.47,5.67,48.6
250,,Žarko Udovičić,0.09,0.06,23.82,72.39,5.73,32.71
251,,Mbouri Yamkam,0.12,0.09,36.58,74.48,5.24,39.81
252,,Edmund Addo,0,0.06,42.5,79.41,6.06,49.41
253,,Andrija Milić,0.13,0,18.25,79.45,2.63,58.33
254,,Borisav Burmaz,0.13,0.06,12.19,71.96,3.16,70
255,,Novak Mićović,0,0,21.57,67.55,1.07,45.76
256,,Slobodan Stanojlović,0,0,8.57,73.15,2.23,55.56
257,,Veljko Trifunović,0.15,0.08,6.85,76.4,2.31,42.86
258,,Almir Aganspahić,0,0,4.91,77.78,2,33.33
259,,Aleksandar Mesarović,0.03,0.03,30.61,81.98,9.87,67.01
260,,Stefan Stanisavljević,0,0,5.73,66.67,1.73,0
261,,Mihajlo Vesnić,0,0,20.39,68.39,1.39,32.53
262,,Igor Miladinović,0.27,0.18,10.36,80.7,2.55,100
263,,Nenad Kočović,0.03,0.09,32.52,71.85,4.21,29.63
264,,Dušan Stoiljković,0.11,0.11,19.79,72.87,5.95,46.94
265,,Jug Stanojev,0,0,9,79.17,3.38,45.45
266,,Saša Tomanović,0,0.07,30.8,77.71,4.6,55.1
267,,Milan Joksimović,0.03,0.03,34.32,67.27,5.47,36.99
268,,Milan Makarić,0.22,0.17,14.33,66.67,4.83,44.44
269,,Mihajlo Bogićević,0,0.05,39.35,74.21,2.9,42.29
270,,Nebojša Bastajić,0.18,0.03,19.76,75.89,6.32,57.14
271,,Stefan Mitrović,0.03,0.09,15.88,83.33,6.47,50
272,,Geoffrey Chinedu Charles,0,0,10.8,62.04,2.3,50
273,,Svetozar Marković,0,0,47.45,77.87,2.14,35.08
274,,Uroš Miladinović,0,0,4,100,1,0
275,,Hamza Bronja,0,0,0.5,100,0.5,0
276,,Zoran Karać,0,0,8,81.25,0.5,0
277,,Ensar Brunčević,0,0,2.25,100,0.25,0
278,,Branislav Marković,0.14,0,8.43,74.58,1.14,50
279,,Nemanja Stevanović,0,0,25.44,63.32,0.56,34.68
280,,Ognjen Mitrović,0,0,23.44,64.93,3.78,21.95
281,,Miljan Krpić,0,0,2.67,84.38,0.5,66.67
282,,Nikola Vlajković,0.04,0,28.08,66.47,5.38,30.71
283,,Damir Sadiković,0.07,0,32.17,78.67,6.76,56.73
284,,Strahinja Tanasijević,0,0.07,27.73,75,2.33,38.37
285,,Aleksandar Varjačić,0,0,16.53,71.37,3.93,30.56
286,,Marko Šarić,0.03,0.09,14,69.59,4.14,50
287,,Mihajlo Spasojević,0,0,2.92,63.16,0.92,100
