#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
202,,Nikola Stajić,0,0,0,0.56,0,0
203,,Darko Puškarić,0,0,66.67,0.14,0,0
204,,Jovan Milošević,0.17,0.17,62.5,0.72,0,0
205,,Stefan Vukić,0.11,0.07,36.36,0.85,0.04,0
206,,Bojan Roganović,0,0,0,0.33,0,0
207,,Matija Mitrović,0,0,0,0,0,0
208,,Vladimir Vitorović,0.04,0.04,80,0.5,0,0
209,,Samed Baždar,0.15,0.11,41.46,1.33,0,0
210,,Thierry Etongou,0,0,75,0,0,0
211,,Uroš Stojanović,0.03,0.03,58.33,0.3,0.03,0
212,,Slavoljub Srnić,0,0,60,0.53,0,0
213,,Miloš Pantović,0.23,0.13,50.68,1.71,0.03,0
214,,Aleksa Matić,0,0,68.75,0.2,0,0
215,,Ivan Milošević,0.04,0.04,75,0.26,0,0
216,,Miljan Ilić,0,0,68.18,0.06,0,0
217,,Uroš Lazić,0,0,62.5,0.65,0,0
218,,Đorđe Denić,0.04,0,80,0.52,0,0
219,,Milan Radin,0,0,66.67,0.4,0,0
220,,Luka Zorić,0.13,0.13,61.54,0.87,0.03,0
221,,Miloš Tošeski,0.06,0.06,76.92,0.63,0,0
222,,Luka Luković,0.12,0.06,34.48,1.24,0,0
223,,Miloš Adamović,0,0,72.73,0.65,0,0
224,,Dušan Stevanović,0,0,70,0.42,0,0
225,,Srđan Hrstić,0.22,0.3,37.93,1.22,0.04,0
226,,Zlatan Šehović,0.11,0.11,0,0.67,0.11,0
227,,Kristijan Tojcić,0,0,66.67,0.38,0,0
228,,Srđan Grabež,0,0,58.33,0.38,0,0
229,,Nikola Petković,0,0,45.45,0.71,0,0
230,,Stefan Filipović,0,0.07,0,0.36,0,0
231,,Luka Adžić,0.09,0.04,48.89,1.3,0,0
232,,Klemen Bolha,0,0,44.44,0.42,0,0
233,,Ljubomir Fejsa,0,0.04,60,0.09,0,0
234,,Vladimir Kovačević,0,0,100,0.22,0,0
235,,Dejan Dražić,0,0,61.11,0.5,0,0
236,,Nikola Ćirković,0,0.03,36.36,0.22,0,0
237,,Vanja Ilić,0.07,0.07,48,1.07,0,0
238,,Sead Islamović,0.06,0.12,52.38,0.94,0,0
239,,Cristian,0.07,0.14,50,1.71,0,0
240,,Miloš Đokić,0.03,0.03,38.89,0.97,0,0
241,,Filip Ivanović,0,0.03,60,0.84,0,0
242,,Aleksa Đurasović,0.03,0,92.31,0.5,0,0
243,,Aleksa Janković,0.14,0,28.57,0.57,0,0
244,,Marko Đurišić,0,0,83.33,0.48,0,0
245,,Vuk Mitošević,0,0,0,0.33,0,0
246,,Nikolaos Baxevanos,0,0,0,0.67,0,0
247,,Nikola Leković,0.03,0,42.86,0.32,0,0
248,,Ante Vukušić,0.15,0.11,35.29,1.26,0,0
249,,Sambou Sissoko,0,0,69.23,0.42,0,0
250,,Žarko Udovičić,0.03,0.03,56.25,0.58,0,0
251,,Mbouri Yamkam,0,0,83.33,0.24,0,0
252,,Edmund Addo,0,0.06,65.31,0.88,0,0
253,,Andrija Milić,0,0,100,0.63,0,0
254,,Borisav Burmaz,0.19,0.13,53.33,1.26,0.06,0
255,,Novak Mićović,0,0,0,0,0,0
256,,Slobodan Stanojlović,0.13,0.03,25,1.03,0,0
257,,Veljko Trifunović,0.08,0,50,0.62,0,0
258,,Almir Aganspahić,0.09,0.18,100,0.82,0,0
259,,Aleksandar Mesarović,0,0,60.87,0.81,0,0
260,,Stefan Stanisavljević,0.09,0.09,33.33,1.09,0.09,0
261,,Mihajlo Vesnić,0.06,0,33.33,0.28,0,0
262,,Igor Miladinović,0,0,38.46,0.45,0,0
263,,Nenad Kočović,0,0,83.33,0.24,0,0
264,,Dušan Stoiljković,0.11,0.11,39.13,1.32,0,0
265,,Jug Stanojev,0.06,0.06,41.67,0.63,0,0
266,,Saša Tomanović,0,0,0,0.67,0,0
267,,Milan Joksimović,0.06,0,80,0.44,0.06,0
268,,Milan Makarić,0,0.28,48.57,2.17,0,0
269,,Mihajlo Bogićević,0,0.05,0,0.2,0,0
270,,Nebojša Bastajić,0.15,0.06,46.15,1.59,0,0
271,,Stefan Mitrović,0.15,0.12,49.09,1.35,0,0
272,,Geoffrey Chinedu Charles,0.2,0.3,75,1.5,0.1,0
273,,Svetozar Marković,0.09,0.27,100,0.73,0.05,0
274,,Uroš Miladinović,0,0,0,1,0,0
275,,Hamza Bronja,0,0,0,0,0,0
276,,Zoran Karać,0,0,0,1.5,0,0
277,,Ensar Brunčević,0,0,0,0,0,0
278,,Branislav Marković,0,0,100,0.43,0,0
279,,Nemanja Stevanović,0,0,0,0,0,0
280,,Ognjen Mitrović,0,0,45.45,0.44,0,0
281,,Miljan Krpić,0,0.08,100,0.17,0,0
282,,Nikola Vlajković,0,0,70.59,0.79,0,0
283,,Damir Sadiković,0.07,0,75,0.52,0,1.72
284,,Strahinja Tanasijević,0,0.07,50,0.6,0,0
285,,Aleksandar Varjačić,0.07,0,54.55,0.47,0,0
286,,Marko Šarić,0.14,0.03,39.47,1.37,0.06,0
287,,Mihajlo Spasojević,0.15,0,33.33,0.46,0.15,0
288,,Aleksa Milojević,0,0,0,0,0,0
289,,Mlađan Stevanović,0,0,0,0.27,0,0
290,,Eliomar Silva,0.04,0,55.56,0.48,0,0
291,,Stefan Marjanović,0.03,0,68.18,0.72,0,0
292,,Nemanja Nikolić,0,0,78.57,0.86,0,0
293,,Regis Samuel Baha,0,0,60.71,0.53,0,0
294,,Danilo Teodorović,0.13,0.04,60,0.5,0,0
295,,Milan Vidakov,0.08,0.16,50,0.92,0,0
296,,Nikola Janković,0.03,0.03,57.14,0.22,0,0
297,,Đorđe Jovanović,0.04,0.07,44.44,0.86,0,0
298,,Ilija Milićević,0.06,0,100,0.25,0.06,0
299,,Mateja Đorđević,0,0,70.59,0.28,0,0
300,,Egor Prutsev,0,0,61.9,0.6,0,0
301,,Luka Ratković,0.04,0.04,38.46,0.71,0.04,0
302,,Andreja Stojanović,0,0,58.62,0.67,0,0
303,,Nikola Vukajlović,0,0.03,37.84,0.3,0,0
304,,Ranko Jokić,0.03,0,50,0.41,0.03,0
305,,Vladimir Silađi,0.08,0.08,66.67,0.77,0,0
306,,David Dunđerski,0.05,0.05,85.71,0.36,0,0
307,,Miladin Stevanović,0,0.04,47.62,0.38,0,0
308,,Petar Kunić,0.12,0.04,25,0.5,0.04,0
309,,Lazar Raičević,0,0,0,0,0,0
310,,Filip Antonijević,0,0,20,0.56,0,0
311,,Davor Nedeljković,0.1,0.1,44.44,0.7,0,0
312,,Ousman Marong,0,0,57.14,0.4,0,0
313,,Nemanja Ljubisavljević,0,0,100,0.25,0,0
314,,Nikola Miličić,0,0,58.33,0.11,0,0
315,,Petar Đuričković,0.05,0,55.56,0.77,0,0
316,,Nenad Gavrić,0.05,0.05,36.84,1.05,0,0
317,,Vojo Ubiparip,0.06,0.06,100,0.82,0.06,0
318,,Milan Savić,0,0,100,0.25,0,0
319,,Marko Pantić,0,0,71.43,0.73,0,0
320,,Dragoljub Srnić,0,0,50,0.1,0,0
321,,Nemanja Mićević,0,0,100,0.29,0,0
322,,Zoran Danoski,0.15,0.15,29.82,1.11,0,0
323,,Edin Ajdinović,0.04,0,45.45,0.25,0,0
324,,Jovan Mituljikić,0.07,0,58.82,0.71,0,0
325,,Mihajlo Ilić,0,0,0,0,0,0
326,,Marko Ivezić,0,0.14,40.91,0.72,0,0
327,,Andrija Radovanović,0,0,50,0.13,0,0
328,,Ilija Babić,0,0.11,51.92,0.54,0,0
329,,Bojan Čečarić,0.06,0.13,31.03,0.91,0,0
330,,Marko Mrkic,0.25,0,25,0.25,0,0
331,,Marko Šimić,0.17,0.17,0,1,0.17,0
332,,Vasilije Janjić,0,0.17,25,1.17,0,0
333,,Jovan Zogović,0,0.13,40,0.88,0,0
334,,Luka Malić,0,0,40,0,0,0
335,,Luka Milojević,0,0,50,0,0,0
336,,Ivan Tatomirović,0,0,0,0.4,0,0
337,,Filip Jović,0,0.03,46.43,0.39,0,0
338,,Stefan Cvetković,0.08,0.12,55.17,1.2,0,0
