#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
139,,Miloš Milisavljević,0,0,0,58.82,2.67,0.33
140,,Nenad Krstičić,0,0,100,91.67,0.5,0.25
141,,Dejan Stanivuković,0.23,0.03,92.31,73.91,0.13,0.1
142,,Noboru Shimura,0.26,0.03,61.7,55.38,1.23,1.58
143,,Ibrahima Mame Ndiaye,0.12,0,39.13,45.79,0.53,0.76
144,,Zeljko Samčović,0.15,0,100,87.5,0.2,0.1
145,,Samuel Owusu,0.1,0.03,27.78,59.59,1.86,0.41
146,,Filip Manojlović,0.11,0,100,100,0.04,0
147,,Taras Bondarenko,0.18,0,53.95,55.26,0.41,0.35
148,,Stefan Ranđelović,0.06,0,80,76.47,0.26,0
149,,Janko Tumbasević,0.16,0,65.22,51.29,0.63,1.47
150,,Stefan Jovanović,0.26,0,37.5,52.42,2.06,1.74
151,,Saša Marković,0,0,62.5,50.53,0.5,1.06
152,,Stefan Tomović,0.16,0,18.18,49.18,1.08,0.32
153,,Nikola Kuveljić,0.21,0,64,52.53,0.71,1.29
154,,Igor Jeličić,0.18,0.04,66.29,59.34,0.39,1.04
155,,Aleksandar Busnić,0.18,0,65,57.14,0.41,0.95
156,,Miljan Škrbić,0.11,0,32.26,47.41,1.28,0.5
157,,Siniša Saničanin,0.29,0.06,46.51,52.53,0.65,1.06
158,,Igor Maksimović,0,0,33.33,45.45,0.4,0
159,,Emmanuel Hackman,0.07,0.07,52.17,54.48,0.8,1.47
160,,Miljan Momčilović,0.22,0,45.65,59.18,2.07,1.56
161,,Uroš Đuranović,0.47,0,36.67,37.55,2.47,2.73
162,,Petar Mićin,0.13,0,40,50.23,0.97,1.13
163,,Aleksandar Tanasin,0.17,0,56.25,62.96,1.17,1.23
164,,Đorđe Ivanović,0.09,0,44.78,38.98,0.71,1.09
165,,Andrija Radulović,0.09,0,19.35,43.92,1.49,0.86
166,,Bojan Kovačević,0.18,0,73.77,62.38,0.35,1
167,,Numan Kurdić,0.06,0.06,56.14,51.47,0.24,1.18
168,,Nemanja Milojević,0.09,0,40.98,50.65,1.82,1.29
169,,Lazar Jovanović,0.2,0,12.5,25,0.4,0.2
170,,Nikola Vasiljević,0.07,0,48.15,52.5,0.47,0.53
171,,Patrick Andrade,0.19,0,21.05,45.54,0.63,0.75
172,,Stefan Leković,0,0,52.63,68.42,0.42,0.25
173,,Andrija Pavlović,0.06,0,39.47,50.65,0.67,0.33
174,,Slobodan Simović,0.22,0.11,64.29,57.41,0.44,1.11
175,,Milan Ilić,0.29,0,47.83,54.62,0.43,1.36
176,,Nikola Terzić,0.13,0,25,45.83,0.5,0.25
177,,Milan Marčić,0.31,0,52,49.78,1.15,1.81
178,,Luka Bijelović,0.13,0,44.68,54.09,1.03,0.39
179,,Damjan Krajišnik,0.24,0,47.69,50.5,2.18,1.76
180,,Uroš Vitas,0.22,0,48.65,47.87,0.61,1
181,,Novica Maksimović,0.26,0,59.02,56.5,1.74,1.16
182,,Ognjen Lukić,0,0,0,0,0,0
183,,David Bjelica,0,0,0,0,0,0
184,,Evandro,0.29,0,50,48.93,2.95,1.76
185,,Srđan Dimitrov,0.29,0,17.65,46.15,1.88,2
186,,Queensy Menig,0,0,26.67,38.77,0.42,0.58
187,,Nemanja Žunić,0.4,0,66.07,59.56,1.6,1.87
188,,Bojica Nikčević,0.15,0,34.04,45.37,1.04,1.33
189,,Milan Đurić,0,0,62.5,46,0.75,0.83
190,,Filip Malbašić,0.07,0,48.28,41.38,1.07,1.1
191,,Luka Milunović,0.06,0,50,52.56,1.19,0.75
192,,Bojan Matić,0.14,0,48.09,48.53,2.1,1.76
193,,Aleksandar Popović,0.04,0,100,66.67,0,0
194,,Emir Azemović,0.33,0,66.67,58,0.67,1.83
195,,Periša Pešukić,0.19,0,51.56,56.49,1.06,1.26
196,,Norman Campbell,0.2,0,22.22,34.46,0.77,1.43
197,,Petar Gigić,0.26,0,43.59,43.22,1.6,1.31
198,,Boris Kopitović,0.15,0.05,60,55.14,0.55,1.3
199,,Ognjen Mršić,0.1,0,65.31,56.96,0.3,1.3
200,,Sékou Sanogo,0.08,0,83.33,69.05,0.58,0.75
201,,Vukašin Krstić,0,0,75,64.29,0.33,0.33
202,,Nikola Stajić,0,0,68.18,55.77,0.67,1.11
203,,Darko Puškarić,0,0,63.16,61.9,0.57,1
204,,Jovan Milošević,0.06,0,30.77,44,1.17,0.72
205,,Stefan Vukić,0.15,0,38.1,44.44,1.3,0.93
206,,Bojan Roganović,0.17,0,50,52.94,1.5,1
207,,Matija Mitrović,0,0,100,50,0.25,0
208,,Vladimir Vitorović,0.11,0.04,57.63,56.83,0.54,1.04
209,,Samed Baždar,0.19,0,31.25,41.61,0.74,0.74
210,,Thierry Etongou,0.31,0.13,52.54,57.32,1.25,2.19
211,,Uroš Stojanović,0.15,0,57.97,60.93,0.64,0.91
212,,Slavoljub Srnić,0.13,0,40,55.56,0.6,0.47
213,,Miloš Pantović,0.1,0.03,45.76,48.76,1.94,0.45
214,,Aleksa Matić,0.27,0,46.43,52.17,0.73,1.07
215,,Ivan Milošević,0.35,0.04,55.93,52.5,0.52,1.35
216,,Miljan Ilić,0.26,0,69.57,57.35,0.45,1.16
217,,Uroš Lazić,0.24,0,42.31,50.45,1.24,1.06
218,,Đorđe Denić,0.2,0,40.7,46.67,0.8,2.04
219,,Milan Radin,0.4,0,54.55,51.43,2.6,2.8
220,,Luka Zorić,0.2,0,40.28,43.29,0.63,1.9
221,,Miloš Tošeski,0.25,0,27.27,39.47,0.81,0.88
222,,Luka Luković,0.29,0,27.91,40.59,0.82,1.24
223,,Miloš Adamović,0.24,0,43.75,44.6,0.71,1.94
224,,Dušan Stevanović,0.08,0,60.26,58.76,0.92,1.04
225,,Srđan Hrstić,0.15,0,50.94,46.49,2.15,2.15
226,,Zlatan Šehović,0,0,68.18,57.78,0.33,0.56
227,,Kristijan Tojcić,0.25,0,53.33,51.49,0.78,1.28
228,,Srđan Grabež,0.38,0.08,60.71,62.16,1.38,1.31
229,,Nikola Petković,0.07,0,50,58.7,0.57,0.57
230,,Stefan Filipović,0.29,0,49.06,46.3,0.86,1.64
231,,Luka Adžić,0.26,0,47.06,43.44,0.52,0.78
232,,Klemen Bolha,0,0,77.55,57.5,0.29,0.79
233,,Ljubomir Fejsa,0.04,0,45.45,56.72,1.04,0.74
234,,Vladimir Kovačević,0.11,0,68.18,62.31,0.94,1.33
235,,Dejan Dražić,0.07,0,41.18,50,0.79,1.07
236,,Nikola Ćirković,0.22,0,59.34,55,0.91,1.66
