#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
164,,Đorđe Ivanović,0,0.03,0,0,0.66,0.06
165,,Andrija Radulović,0,0.2,0,0,0.66,0.23
166,,Bojan Kovačević,0,0.47,0,0,0.76,0.06
167,,Numan Kurdić,0,0.24,0,0,1.41,0.12
168,,Nemanja Milojević,0,0.09,0,0,1.12,0.18
169,,Lazar Jovanović,0,0,0,0,1.8,0.2
170,,Nikola Vasiljević,0,0.33,0,0,0.6,0
171,,Patrick Andrade,0,0.13,0,0,0.44,0.06
172,,Stefan Leković,0,0.08,0,0,0.42,0.08
173,,Andrija Pavlović,0,0.11,0,0,0.28,0.11
174,,Slobodan Simović,0,0,0,0,0.33,0
175,,Milan Ilić,0,0.36,0,0,0.64,0.36
176,,Nikola Terzić,0,0,0,0,0,0
177,,Milan Marčić,0,0.04,0,0,1.15,0.19
178,,Luka Bijelović,0,0.19,0,0,1.03,0.1
179,,Damjan Krajišnik,0,0.06,0,0,0.76,0.18
180,,Uroš Vitas,0,0.22,0,0,0.83,0.06
181,,Novica Maksimović,0,0.32,0,0,0.87,0.23
182,,Ognjen Lukić,0,1,0,0,0,0
183,,David Bjelica,2,0,0,0,0,0
184,,Evandro,0,0,0,0,0.52,0.1
185,,Srđan Dimitrov,0,0,0,0,0.65,0.41
186,,Queensy Menig,0,0.03,0,0,0.61,0.15
187,,Nemanja Žunić,0,0.13,0,0,1.07,0.13
188,,Bojica Nikčević,0,0.07,0,0,0.85,0.07
189,,Milan Đurić,0,0,0,0,0.83,0.17
190,,Filip Malbašić,0,0.03,0,0,0.66,0
191,,Luka Milunović,0,0,0,0,0.69,0.25
192,,Bojan Matić,0,0.1,0,0,0.62,0
193,,Aleksandar Popović,1.86,0.39,0.11,0,0.75,0.18
194,,Emir Azemović,0,0,0,0,2,0.33
195,,Periša Pešukić,0,0.23,0,0,1.03,0.1
196,,Norman Campbell,0,0.03,0,0,0.91,0.14
197,,Petar Gigić,0,0.09,0,0,1.06,0.11
198,,Boris Kopitović,0,0.1,0,0,1.15,0.3
199,,Ognjen Mršić,0,0.3,0,0,1,0.1
200,,Sékou Sanogo,0,0,0,0,0.33,0
201,,Vukašin Krstić,0,0,0,0,0.5,0
202,,Nikola Stajić,0,0.11,0,0,1,0.22
203,,Darko Puškarić,0,0.43,0,0,0.71,0.14
204,,Jovan Milošević,0,0,0,0,0.33,0
205,,Stefan Vukić,0,0.07,0,0,0.37,0.07
206,,Bojan Roganović,0,0.17,0,0,1,0.17
207,,Matija Mitrović,0,0,0,0,0,0
208,,Vladimir Vitorović,0,0.11,0,0,0.96,0.21
209,,Samed Baždar,0,0.04,0,0,0.26,0.07
210,,Thierry Etongou,0,0.25,0,0,1.13,0
211,,Uroš Stojanović,0,0.24,0,0,1.12,0.15
212,,Slavoljub Srnić,0,0.07,0,0,0.13,0
213,,Miloš Pantović,0,0.23,0,0,1.1,0.1
214,,Aleksa Matić,0,0.07,0,0,1.47,0.07
215,,Ivan Milošević,0,0.13,0,0,1.09,0.26
216,,Miljan Ilić,0,0.29,0,0,0.87,0.13
217,,Uroš Lazić,0,0.35,0,0,0.35,0.06
218,,Đorđe Denić,0,0.32,0,0,0.76,0.08
219,,Milan Radin,0,0.1,0,0,0.6,0
220,,Luka Zorić,0,0.1,0,0,0.7,0.2
221,,Miloš Tošeski,0,0.06,0,0,0.75,0.13
222,,Luka Luković,0,0,0,0,1.12,0.18
223,,Miloš Adamović,0,0.29,0,0,0.53,0.24
224,,Dušan Stevanović,0,0.33,0,0,0.75,0.08
225,,Srđan Hrstić,0,0.04,0,0,1,0.15
226,,Zlatan Šehović,0,0.22,0,0,0.22,0
227,,Kristijan Tojcić,0,0.22,0,0,0.88,0.31
228,,Srđan Grabež,0,0.08,0,0,1.46,0.15
229,,Nikola Petković,0,0.07,0,0,0.14,0.07
230,,Stefan Filipović,0,0.29,0,0,1,0.07
